age,daily_social_media_hours,sleep_hours,screen_time_before_sleep,academic_performance,physical_activity,social_interaction_level,stress_level,anxiety_level,addiction_level,mental_health_risk_score,sleep_quality,digital_wellbeing_flag,total_screen_exposure,sleep_efficiency,high_social_media_usage,active_lifestyle,risk_category,sleep_quality_encoded,gender_male
14,7.9,7.4,2.9,3.01,1.5,low,2,2,1,5,Fair,At Risk,10.8,1.8974358974358976,1,1,low,1,True
19,1.9,8.0,2.9,3.22,0.8,high,8,1,10,19,Good,Moderate,4.8,2.0512820512820515,0,0,medium,2,False
17,1.3,7.6,0.5,3.92,0.0,high,2,4,2,8,Fair,Healthy,1.8,5.066666666666666,0,0,low,1,False
15,7.4,6.9,1.6,3.48,0.8,medium,1,7,9,17,Fair,Moderate,9.0,2.6538461538461537,1,0,medium,1,True
15,4.7,4.9,3.0,2.37,1.4,medium,3,5,2,10,Poor,Moderate,7.7,1.225,0,1,low,0,False
19,7.4,4.4,2.4,2.63,0.6,high,3,5,7,15,Poor,At Risk,9.8,1.2941176470588236,1,0,medium,0,False
18,2.5,6.4,2.4,2.63,0.7,low,2,2,5,9,Fair,Moderate,4.9,1.8823529411764708,0,0,low,1,False
16,4.0,4.2,0.5,2.4,1.3,low,6,10,5,21,Poor,Moderate,4.5,2.8000000000000003,0,1,high,0,True
19,3.3,5.0,2.1,2.04,0.9,high,1,10,9,20,Poor,Moderate,5.4,1.6129032258064515,0,0,medium,0,False
15,1.9,4.9,1.5,3.77,1.1,high,1,1,4,6,Poor,Healthy,3.4,1.9600000000000002,0,1,low,0,True
16,7.2,5.8,2.9,3.16,1.2,medium,5,8,9,22,Poor,At Risk,10.1,1.4871794871794872,1,1,high,0,True
13,4.9,4.7,2.5,3.92,1.2,low,1,10,8,19,Poor,Moderate,7.4,1.342857142857143,0,1,medium,0,True
16,6.2,7.2,2.6,2.02,1.7,medium,5,7,6,18,Fair,At Risk,8.8,2.0,1,1,medium,1,True
17,6.8,5.7,1.1,3.29,1.3,medium,1,10,10,21,Poor,Moderate,7.9,2.7142857142857144,1,1,high,0,False
15,5.7,5.9,0.8,3.5,0.7,low,1,9,1,11,Poor,Moderate,6.5,3.2777777777777777,1,0,low,0,True
14,3.6,5.3,0.6,2.99,0.3,high,4,10,2,16,Poor,Healthy,4.2,3.3124999999999996,0,0,medium,0,False
13,1.5,4.2,1.4,2.59,0.5,high,4,5,8,17,Poor,Healthy,2.9,1.7500000000000002,0,0,medium,0,True
